urdu_text,roman_text
گہرے سمندروں میں اتر جانا چاہییے,gahre samundaron men utar jaana chahiye
اب رفتگاں کی بات نہیں کارواں کی ہے,ab raftagan ki baat nahin karvan ki hai
جس سمت بھی ہو گرد سفر جانا چاہییے,jis samt bhi ho gard e safar jaana chahiye
کچھ تو ثبوت خون تمنا کہیں ملے,kuchh to subut e khun e tamanna kahin mile
ہے دل تہی تو آنکھ کو بھر جانا چاہییے,hai dil tahi to aankh ko bhar jaana chahiye
یا اپنی خواہشوں کو مقدس نہ جانتے,ya apni khvahishon ko muqaddas na jante
یا خواہشوں کے ساتھ ہی مر جانا چاہییے,ya khvahishon ke saath hi mar jaana chahiye
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں,abhi kuchh aur karishme ghazal ke dekhte hain
فرازؔ اب ذرا لہجہ بدل کے دیکھتے ہیں,'faraz' ab zara lahja badal ke dekhte hain
جداییاں تو مقدر ہیں پھر بھی جان سفر,judaiyan to muqaddar hain phir bhi jan e safar
کچھ اور دور ذرا ساتھ چل کے دیکھتے ہیں,kuchh aur duur zara saath chal ke dekhte hain
رہ وفا میں حریف خرام کویی تو ہو,rah e vafa men harif e khiram koi to ho
سو اپنے آپ سے آگے نکل کے دیکھتے ہیں,so apne aap se aage nikal ke dekhte hain
تو سامنے ہے تو پھر کیوں یقیں نہیں آتا,tu samne hai to phir kyuun yaqin nahin aata
یہ بار بار جو آنکھوں کو مل کے دیکھتے ہیں,ye baar baar jo ankhon ko mal ke dekhte hain
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log hain maujud teri mahfil men
جو لالچوں سے تجھے مجھ کو جل کے دیکھتے ہیں,jo lalachon se tujhe mujh ko jal ke dekhte hain
یہ قرب کیا ہے کہ یک جاں ہویے نہ دور رہے,ye qurb kya hai ki yak jan hue na duur rahe
ہزار ایک ہی قالب میں ڈھل کے دیکھتے ہیں,hazar ek hi qalib men dhal ke dekhte hain
نہ تجھ کو مات ہویی ہے نہ مجھ کو مات ہویی,na tujh ko maat hui hai na mujh ko maat hui
سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں,so ab ke donon hi chalen badal ke dekhte hain
یہ کون ہے سر ساحل کہ ڈوبنے والے,ye kaun hai sar e sahil ki dubne vaale
سمندروں کی تہوں سے اچھل کے دیکھتے ہیں,samundaron ki tahon se uchhal ke dekhte hain
ابھی تلک تو نہ کندن ہویے نہ راکھ ہویے,abhi talak to na kundan hue na raakh hue
ہم اپنی آگ میں ہر روز جل کے دیکھتے ہیں,ham apni aag men har roz jal ke dekhte hain
بہت دنوں سے نہیں ہے کچھ اس کی خیر خبر,bahut dinon se nahin hai kuchh us ki khair khabar
چلو فرازؔ کو اے یار چل کے دیکھتے ہیں,chalo 'faraz' ko ai yaar chal ke dekhte hain
اگرچہ زور ہواؤں نے ڈال رکھا ہے,agarche zor havaon ne daal rakkha hai
مگر چراغ نے لو کو سنبھال رکھا ہے,magar charagh ne lau ko sambhal rakkha hai
محبتوں میں تو ملنا ہے یا اجڑ جانا,mohabbaton men to milna hai ya ujad jaana
مزاج عشق میں کب اعتدال رکھا ہے,mizaj e ishq men kab e'tidal rakkha hai
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ,hava men nashsha hi nashsha faza men rang hi rang
یہ کس نے پیرہن اپنا اچھال رکھا ہے,ye kis ne pairahan apna uchhal rakkha hai
بھلے دنوں کا بھروسا ہی کیا رہیں نہ رہیں,bhale dinon ka bharosa hi kya rahen na rahen
سو میں نے رشتۂ غم کو بحال رکھا ہے,so main ne rishta e gham ko bahal rakkha hai
ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا,ham aise sada dilon ko vo dost ho ki khuda
سبھی نے وعدۂ فردا پہ ٹال رکھا ہے,sabhi ne vada e farda pe taal rakkha hai
حساب لطف حریفاں کیا ہے جب تو کھلا,hisab e lutf e harifan kiya hai jab to khula
کہ دوستوں نے زیادہ خیال رکھا ہے,ki doston ne ziyada khayal rakkha hai
بھری بہار میں اک شاخ پر کھلا ہے گلاب,bhari bahar men ik shakh par khila hai gulab
کہ جیسے تو نے ہتھیلی پہ گال رکھا ہے,ki jaise tu ne hatheli pe gaal rakkha hai
فرازؔ عشق کی دنیا تو خوبصورت تھی,'faraz' ishq ki duniya to khub surat thi
یہ کس نے فتنۂ ہجر و وصال رکھا ہے,ye kis ne fitna e hijr o visal rakkha hai
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے,aisa hai ki sab khvab musalsal nahin hote
جو آج تو ہوتے ہیں مگر کل نہیں ہوتے,jo aaj to hote hain magar kal nahin hote
اندر کی فضاؤں کے کرشمے بھی عجب ہیں,andar ki fazaon ke karishme bhi ajab hain
مینہ ٹوٹ کے برسے بھی تو بادل نہیں ہوتے,menh tuut ke barse bhi to badal nahin hote
کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں,kuchh mushkilen aisi hain ki asan nahin hotin
کچھ ایسے معمے ہیں کبھی حل نہیں ہوتے,kuchh aise muamme hain kabhi hal nahin hote
شایستگی غم کے سبب آنکھوں کے صحرا,shaistagi e gham ke sabab ankhon ke sahra
نمناک تو ہو جاتے ہیں جل تھل نہیں ہوتے,namnak to ho jaate hain jal thal nahin hote
کیسے ہی تلاطم ہوں مگر قلزم جاں میں,kaise hi talatum hon magar qulzum e jan men
کچھ یاد جزیرے ہیں کہ اوجھل نہیں ہوتے,kuchh yad jazire hain ki ojhal nahin hote
عشاق کے مانند کیی اہل ہوس بھی,ushshaq ke manind kai ahl e havas bhi
پاگل تو نظر آتے ہیں پاگل نہیں ہوتے,pagal to nazar aate hain pagal nahin hote
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے,sab khvahishen puuri hon 'faraz' aisa nahin hai
جیسے کیی اشعار مکمل نہیں ہوتے,jaise kai ashar mukammal nahin hote
ایسے چپ ہیں کہ یہ منزل بھی کڑی ہو جیسے,aise chup hain ki ye manzil bhi kadi ho jaise
تیرا ملنا بھی جدایی کی گھڑی ہو جیسے,tera milna bhi judai ki ghadi ho jaise
اپنے ہی سایے سے ہر گام لرز جاتا ہوں,apne hi saae se har gaam laraz jaata huun
راستے میں کویی دیوار کھڑی ہو جیسے,raste men koi divar khadi ho jaise
کتنے ناداں ہیں ترے بھولنے والے کہ تجھے,kitne nadan hain tire bhulne vaale ki tujhe
یاد کرنے کے لیے عمر پڑی ہو جیسے,yaad karne ke liye umr padi ho jaise
تیرے ماتھے کی شکن پہلے بھی دیکھی تھی مگر,tere mathe ki shikan pahle bhi dekhi thi magar
یہ گرہ اب کے مرے دل میں پڑی ہو جیسے,ye girah ab ke mire dil men padi ho jaise
منزلیں دور بھی ہیں منزلیں نزدیک بھی ہیں,manzilen duur bhi hain manzilen nazdik bhi hain
اپنے ہی پاؤں میں زنجیر پڑی ہو جیسے,apne hi paanv men zanjir padi ho jaise
آج دل کھول کے رویے ہیں تو یوں خوش ہیں فرازؔ,aaj dil khol ke roe hain to yuun khush hain 'faraz'
چند لمحوں کی یہ راحت بھی بڑی ہو جیسے,chand lamhon ki ye rahat bhi badi ho jaise
عجب جنون مسافت میں گھر سے نکلا تھا,ajab junun e masafat men ghar se nikla tha
خبر نہیں ہے کہ سورج کدھر سے نکلا تھا,khabar nahin hai ki suraj kidhar se nikla tha
یہ کون پھر سے انہیں راستوں میں چھوڑ گیا,ye kaun phir se unhin raston men chhod gaya
ابھی ابھی تو عذاب سفر سے نکلا تھا,abhi abhi to azab e safar se nikla tha
یہ تیر دل میں مگر بے سبب نہیں اترا,ye tiir dil men magar be sabab nahin utra
کویی تو حرف لب چارہ گر سے نکلا تھا,koi to harf lab e charagar se nikla tha
یہ اب جو آگ بنا شہر شہر پھیلا ہے,ye ab jo aag bana shahr shahr phaila hai
یہی دھواں مرے دیوار و در سے نکلا تھا,yahi dhuan mire divar o dar se nikla tha
میں رات ٹوٹ کے رویا تو چین سے سویا,main raat tuut ke roya to chain se soya
کہ دل کا زہر مری چشم تر سے نکلا تھا,ki dil ka zahr miri chashm e tar se nikla tha
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر,ye ab jo sar hain khamida kulah ki khatir
یہ عیب بھی تو ہم اہل ہنر سے نکلا تھا,ye aib bhi to ham ahl e hunar se nikla tha
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ,vo qais ab jise majnun pukarte hain 'faraz'
تری طرح کویی دیوانہ گھر سے نکلا تھا,tiri tarah koi divana ghar se nikla tha
اول اول کی دوستی ہے ابھی,avval avval ki dosti hai abhi
اک غزل ہے کہ ہو رہی ہے ابھی,ik ghazal hai ki ho rahi hai abhi
میں بھی شہر وفا میں نو وارد,main bhi shahr e vafa men nau varid
وہ بھی رک رک کے چل رہی ہے ابھی,vo bhi ruk ruk ke chal rahi hai abhi
میں بھی ایسا کہاں کا زود شناس,main bhi aisa kahan ka zud shanas
وہ بھی لگتا ہے سوچتی ہے ابھی,vo bhi lagta hai sochti hai abhi
دل کی وارفتگی ہے اپنی جگہ,dil ki varaftagi hai apni jagah
پھر بھی کچھ احتیاط سی ہے ابھی,phir bhi kuchh ehtiyat si hai abhi
گرچہ پہلا سا اجتناب نہیں,garche pahla sa ijtinab nahin
پھر بھی کم کم سپردگی ہے ابھی,phir bhi kam kam supurdagi hai abhi
کیسا موسم ہے کچھ نہیں کھلتا,kaisa mausam hai kuchh nahin khulta
بوندا باندی بھی دھوپ بھی ہے ابھی,bunda bandi bhi dhuup bhi hai abhi
خود کلامی میں کب یہ نشہ تھا,khud kalami men kab ye nashsha tha
جس طرح روبرو کویی ہے ابھی,jis tarah ru ba ru koi hai abhi
قربتیں لاکھ خوبصورت ہوں,qurbaten laakh khub surat hon
دوریوں میں بھی دل کشی ہے ابھی,duriyon men bhi dilkashi hai abhi
فصل گل میں بہار پہلا گلاب,fasl e gul men bahar pahla gulab
کس کی زلفوں میں ٹانکتی ہے ابھی,kis ki zulfon men tankti hai abhi
مدتیں ہو گییں فرازؔ مگر,muddaten ho gaiin 'faraz' magar
وہ جو دیوانگی کہ تھی ہے ابھی,vo jo divangi ki thi hai abhi
دوست بن کر بھی نہیں ساتھ نبھانے والا,dost ban kar bhi nahin saath nibhane vaala
وہی انداز ہے ظالم کا زمانے والا,vahi andaz hai zalim ka zamane vaala
اب اسے لوگ سمجھتے ہیں گرفتار مرا,ab use log samajhte hain giraftar mira
سخت نادم ہے مجھے دام میں لانے والا,sakht nadim hai mujhe daam men laane vaala
صبح دم چھوڑ گیا نکہت گل کی صورت,subh dam chhod gaya nikhat e gul ki surat
رات کو غنچۂ دل میں سمٹ آنے والا,raat ko ghuncha e dil men simat aane vaala
کیا کہیں کتنے مراسم تھے ہمارے اس سے,kya kahen kitne marasim the hamare us se
وہ جو اک شخص ہے منہ پھیر کے جانے والا,vo jo ik shakhs hai munh pher ke jaane vaala
تیرے ہوتے ہویے آ جاتی تھی ساری دنیا,tere hote hue aa jaati thi saari duniya
آج تنہا ہوں تو کویی نہیں آنے والا,aaj tanha huun to koi nahin aane vaala
منتظر کس کا ہوں ٹوٹی ہویی دہلیز پہ میں,muntazir kis ka huun tuuti hui dahliz pe main
کون آیے گا یہاں کون ہے آنے والا,kaun aaega yahan kaun hai aane vaala
کیا خبر تھی جو مری جاں میں گھلا ہے اتنا,kya khabar thi jo miri jaan men ghula hai itna
ہے وہی مجھ کو سر دار بھی لانے والا,hai vahi mujh ko sar e dar bhi laane vaala
میں نے دیکھا ہے بہاروں میں چمن کو جلتے,main ne dekha hai baharon men chaman ko jalte
ہے کویی خواب کی تعبیر بتانے والا,hai koi khvab ki tabir batane vaala
تم تکلف کو بھی اخلاص سمجھتے ہو فرازؔ,tum takalluf ko bhi ikhlas samajhte ho 'faraz'
دوست ہوتا نہیں ہر ہاتھ ملانے والا,dost hota nahin har haath milane vaala
دکھ فسانہ نہیں کہ تجھ سے کہیں,dukh fasana nahin ki tujh se kahen
دل بھی مانا نہیں کہ تجھ سے کہیں,dil bhi maana nahin ki tujh se kahen
آج تک اپنی بیکلی کا سبب,aaj tak apni bekali ka sabab
خود بھی جانا نہیں کہ تجھ سے کہیں,khud bhi jaana nahin ki tujh se kahen
بے طرح حال دل ہے اور تجھ سے,be tarah hal e dil hai aur tujh se
دوستانہ نہیں کہ تجھ سے کہیں,dostana nahin ki tujh se kahen
ایک تو حرف آشنا تھا مگر,ek tu harf e ashna tha magar
اب زمانہ نہیں کہ تجھ سے کہیں,ab zamana nahin ki tujh se kahen
قاصدا ہم فقیر لوگوں کا,qasida ham faqir logon ka
اک ٹھکانہ نہیں کہ تجھ سے کہیں,ik thikana nahin ki tujh se kahen
اے خدا درد دل ہے بخشش دوست,ai khuda dard e dil hai bakhshish e dost
آب و دانہ نہیں کہ تجھ سے کہیں,ab o dana nahin ki tujh se kahen
اب تو اپنا بھی اس گلی میں فرازؔ,ab to apna bhi us gali men 'faraz'
آنا جانا نہیں کہ تجھ سے کہیں,aana jaana nahin ki tujh se kahen
گفتگو اچھی لگی ذوق نظر اچھا لگا,guftugu achchhi lagi zauq e nazar achchha laga
مدتوں کے بعد کویی ہم سفر اچھا لگا,muddaton ke baad koi ham safar achchha laga
دل کا دکھ جانا تو دل کا مسیلہ ہے پر ہمیں,dil ka dukh jaana to dil ka masala hai par hamen
اس کا ہنس دینا ہمارے حال پر اچھا لگا,us ka hans dena hamare haal par achchha laga
ہر طرح کی بے سر و سامانیوں کے باوجود,har tarah ki be sar o samaniyon ke bavajud
آج وہ آیا تو مجھ کو اپنا گھر اچھا لگا,aaj vo aaya to mujh ko apna ghar achchha laga
باغباں گلچیں کو چاہے جو کہے ہم کو تو پھول,baghban gulchin ko chahe jo kahe ham ko to phuul
شاخ سے بڑھ کر کف دل دار پر اچھا لگا,shakh se badh kar kaf e dildar par achchha laga
کویی مقتل میں نہ پہنچا کون ظالم تھا جسے,koi maqtal men na pahuncha kaun zalim tha jise
تیغ قاتل سے زیادہ اپنا سر اچھا لگا,tegh e qatil se ziyada apna sar achchha laga
ہم بھی قایل ہیں وفا میں استواری کے مگر,ham bhi qaael hain vafa men ustuvari ke magar
کویی پوچھے کون کس کو عمر بھر اچھا لگا,koi puchhe kaun kis ko umr bhar achchha laga
اپنی اپنی چاہتیں ہیں لوگ اب جو بھی کہیں,apni apni chahaten hain log ab jo bhi kahen
اک پری پیکر کو اک آشفتہ سر اچھا لگا,ik pari paikar ko ik ashufta sar achchha laga
میرؔ کے مانند اکثر زیست کرتا تھا فرازؔ,'mir' ke manind aksar ziist karta tha 'faraz'
تھا تو وہ دیوانہ سا شاعر مگر اچھا لگا,tha to vo divana sa shair magar achchha laga
ہر کویی دل کی ہتھیلی پہ ہے صحرا رکھے,har koi dil ki hatheli pe hai sahra rakkhe
کس کو سیراب کرے وہ کسے پیاسا رکھے,kis ko sairab kare vo kise pyasa rakkhe
عمر بھر کون نبھاتا ہے تعلق اتنا,umr bhar kaun nibhata hai taalluq itna
اے مری جان کے دشمن تجھے اللہ رکھے,ai miri jaan ke dushman tujhe allah rakkhe
ہم کو اچھا نہیں لگتا کویی ہم نام ترا,ham ko achchha nahin lagta koi hamnam tira
کویی تجھ سا ہو تو پھر نام بھی تجھ سا رکھے,koi tujh sa ho to phir naam bhi tujh sa rakkhe
دل بھی پاگل ہے کہ اس شخص سے وابستہ ہے,dil bhi pagal hai ki us shakhs se vabasta hai
جو کسی اور کا ہونے دے نہ اپنا رکھے,jo kisi aur ka hone de na apna rakkhe
کم نہیں طمع عبادت بھی تو حرص زر سے,kam nahin tama e ibadat bhi to hirs e zar se
فقر تو وہ ہے کہ جو دین نہ دنیا رکھے,faqr to vo hai ki jo diin na duniya rakkhe
ہنس نہ اتنا بھی فقیروں کے اکیلے پن پر,hans na itna bhi faqiron ke akele pan par
جا خدا میری طرح تجھ کو بھی تنہا رکھے,ja khuda meri tarah tujh ko bhi tanha rakkhe
یہ قناعت ہے اطاعت ہے کہ چاہت ہے فرازؔ,ye qanaat hai itaat hai ki chahat hai 'faraz'
ہم تو راضی ہیں وہ جس حال میں جیسا رکھے,ham to raazi hain vo jis haal men jaisa rakkhe
ہوا کے زور سے پندار بام و در بھی گیا,hava ke zor se pindar e bam o dar bhi gaya
چراغ کو جو بچاتے تھے ان کا گھر بھی گیا,charagh ko jo bachate the un ka ghar bhi gaya
پکارتے رہے محفوظ کشتیوں والے,pukarte rahe mahfuz kashtiyon vaale
میں ڈوبتا ہوا دریا کے پار اتر بھی گیا,main dubta hua dariya ke paar utar bhi gaya
اب احتیاط کی دیوار کیا اٹھاتے ہو,ab ehtiyat ki divar kya uthate ho
جو چور دل میں چھپا تھا وہ کام کر بھی گیا,jo chor dil men chhupa tha vo kaam kar bhi gaya
میں چپ رہا کہ اسی میں تھی عافیت جاں کی,main chup raha ki isi men thi afiyat jaan ki
کویی تو میری طرح تھا جو دار پر بھی گیا,koi to meri tarah tha jo daar par bhi gaya
سلگتے سوچتے ویران موسموں کی طرح,sulagte sochte viran mausamon ki tarah
کڑا تھا عہد جوانی مگر گزر بھی گیا,kada tha ahd e javani magar guzar bhi gaya
جسے بھلا نہ سکا اس کو یاد کیا رکھتا,jise bhula na saka us ko yaad kya rakhta
جو نام لب پہ رہا ذہن سے اتر بھی گیا,jo naam lab pe raha zehn se utar bhi gaya
پھٹی پھٹی ہویی آنکھوں سے یوں نہ دیکھ مجھے,phati phati hui ankhon se yuun na dekh mujhe
تجھے تلاش ہے جس شخص کی وہ مر بھی گیا,tujhe talash hai jis shakhs ki vo mar bhi gaya
مگر فلک کو عداوت اسی کے گھر سے تھی,magar falak ko adavat usi ke ghar se thi
جہاں فرازؔ نہ تھا سیل غم ادھر بھی گیا,jahan 'faraz' na tha sail e gham udhar bhi gaya
ہویی ہے شام تو آنکھوں میں بس گیا پھر تو,hui hai shaam to ankhon men bas gaya phir tu
کہاں گیا ہے مرے شہر کے مسافر تو,kahan gaya hai mire shahr ke musafir tu
مری مثال کہ اک نخل خشک صحرا ہوں,miri misal ki ik nakhl e khushk e sahra huun
ترا خیال کہ شاخ چمن کا طایر تو,tira khayal ki shakh e chaman ka taair tu
میں جانتا ہوں کہ دنیا تجھے بدل دے گی,main janta huun ki duniya tujhe badal degi
میں مانتا ہوں کہ ایسا نہیں بظاہر تو,main manta huun ki aisa nahin ba zahir tu
ہنسی خوشی سے بچھڑ جا اگر بچھڑنا ہے,hansi khushi se bichhad ja agar bichhadna hai
