Urdu,Roman_Urdu
اب کے تجدید وفا کا نہیں امکاں جاناں,ab ke tajddevaf k nah imk jn
یاد کیا تجھ کو دلائیں ترا پیماں جاناں,yaad ky tujh ko dile tir paim jn
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے,yh mausam k ad dekh ke yaad aay hai
کس قدر جلد بدل جاتے ہیں انساں جاناں,kis qadar jald badal jaate hai ins jn
زندگی تیری عطا تھی سو ترے نام کی ہے,zindag ter at th so tire naam k hai
ہم نے جیسے بھی بسر کی ترا احساں جاناں,ham ne jaise bh basar k tir ehs jn
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بھی,dil ye kaht hai ki shyad hai fasurda t bh
دل کی کیا بات کریں دل تو ہے ناداں جاناں,dil k ky baat kare dil to hai nd jn
اول اول کی محبت کے نشے یاد تو کر,avval avval k mohabbat ke nashe yaad to kar
بے پیے بھی ترا چہرہ تھا گلستاں جاناں,bepiye bh tir chehra th gulist jn
آخر آخر تو یہ عالم ہے کہ اب ہوش نہیں,hir hir to ye aalam hai ki ab hosh nah
رگ مینا سلگ اٹھی کہ رگ جاں جاناں,ragemn sulag utth ki ragej jn
مدتوں سے یہی عالم نہ توقع نہ امید,muddato se yah aalam na tavaqqo na umiid
دل پکارے ہی چلا جاتا ہے جاناں جاناں,dil pukre h chal jaat hai jn jn
ہم بھی کیا سادہ تھے ہم نے بھی سمجھ رکھا تھا,ham bh ky saada the ham ne bh samajh rakkh th
غم دوراں سے جدا ہے غم جاناں جاناں,hamedaur se jud hai hamejn jn
اب کے کچھ ایسی سجی محفل یاراں جاناں,ab ke kuchh ais saj mahfileyr jn
سر بہ زانو ہے کوئی سر بہ گریباں جاناں,sarbazn hai ko sarbagareb jn
ہر کوئی اپنی ہی آواز سے کانپ اٹھتا ہے,har ko apn h vz se kaap utht hai
ہر کوئی اپنے ہی سائے سے ہراساں جاناں,har ko apne h saae se hirs jn
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vah zanjrbap lagt hai
شہر کا شہر ہوا داخل زنداں جاناں,shahr k shahr hu dhilezind jn
اب ترا ذکر بھی شاید ہی غزل میں آئے,ab tir zikr bh shyad h hazal me aae
اور سے اور ہوئے درد کے عنواں جاناں,aur se aur hue dard ke unv jn
ہم کہ روٹھی ہوئی رت کو بھی منا لیتے تھے,ham ki rth hu rut ko bh man lete the
ہم نے دیکھا ہی نہ تھا موسم ہجراں جاناں,ham ne dekh h na th mausamehijr jn
ہوش آیا تو سبھی خواب تھے ریزہ ریزہ,hosh aay to sabh hvb the reza reza
جیسے اڑتے ہوئے اوراق پریشاں جاناں,jaise ute hue aurqeparesh jn
اب کیا سوچیں کیا حالات تھے کس کارن یہ زہر پیا ہے,ab ky soche ky hlt the kis kran ye zahr piy hai
ہم نے اس کے شہر کو چھوڑا اور آنکھوں کو موند لیا ہے,ham ne us ke shahr ko chho aur kho ko muud liy hai
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں,apn ye sheva to nah th apne ham auro ko saupe
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے,hud to jgte y sote hai us ko kyuu behvb kiy hai
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے,hilqat ke vze bh the band us ke darvze bh the
پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے,phir bh us kche se guzre phir bh us k naam liy hai
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے,hijr k rut jlev th par halat sabh andze nikle
تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے,taaza rifqat ke mausam tak mai bh jiy huu vo bh jiy hai
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو,ek farz tumh tanh ho jo ab tak dukh ke rasiy ho
ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے,varna aksar dil vlo ne dard k rasta chho diy hai
اب شوق سے کہ جاں سے گزر جانا چاہیئے,ab shauq se ki jaa se guzar jaan chhiye
بول اے ہوائے شہر کدھر جانا چاہیئے,bol ai haveshahr kidhar jaan chhiye
کب تک اسی کو آخری منزل کہیں گے ہم,kab tak is ko hir manzil kahege ham
کوئے مراد سے بھی ادھر جانا چاہیئے,kemurd se bh udhar jaan chhiye
وہ وقت آ گیا ہے کہ ساحل کو چھوڑ کر,vo vaqt aa gay hai ki shil ko chho kar
گہرے سمندروں میں اتر جانا چاہیئے,gahre samundaro me utar jaan chhiye
اب رفتگاں کی بات نہیں کارواں کی ہے,ab raftag k baat nah krv k hai
جس سمت بھی ہو گرد سفر جانا چاہیئے,jis samt bh ho gardesafar jaan chhiye
کچھ تو ثبوت خون تمنا کہیں ملے,kuchh to subtehnetamann kah mile
ہے دل تہی تو آنکھ کو بھر جانا چاہیئے,hai dil tah to aakh ko bhar jaan chhiye
یا اپنی خواہشوں کو مقدس نہ جانتے,y apn hvhisho ko muqaddas na jnte
یا خواہشوں کے ساتھ ہی مر جانا چاہیئے,y hvhisho ke saath h mar jaan chhiye
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں,abh kuchh aur karishme hazal ke dekhte hai
فرازؔ اب ذرا لہجہ بدل کے دیکھتے ہیں,farz ab zar lahja badal ke dekhte hai
جدائیاں تو مقدر ہیں پھر بھی جان سفر,judiy to muqaddar hai phir bh jnesafar
کچھ اور دور ذرا ساتھ چل کے دیکھتے ہیں,kuchh aur duur zar saath chal ke dekhte hai
رہ وفا میں حریف خرام کوئی تو ہو,rahevaf me harfehirm ko to ho
سو اپنے آپ سے آگے نکل کے دیکھتے ہیں,so apne aap se aage nikal ke dekhte hai
تو سامنے ہے تو پھر کیوں یقیں نہیں آتا,t smne hai to phir kyuu yaq nah aat
یہ بار بار جو آنکھوں کو مل کے دیکھتے ہیں,ye baar baar jo kho ko mal ke dekhte hai
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log hai maujd ter mahfil me
جو لالچوں سے تجھے مجھ کو جل کے دیکھتے ہیں,jo llacho se tujhe mujh ko jal ke dekhte hai
یہ قرب کیا ہے کہ یک جاں ہوئے نہ دور رہے,ye qurb ky hai ki yakj hue na duur rahe
ہزار ایک ہی قالب میں ڈھل کے دیکھتے ہیں,hazr ek h qlib me dhal ke dekhte hai
نہ تجھ کو مات ہوئی ہے نہ مجھ کو مات ہوئی,na tujh ko maat hu hai na mujh ko maat hu
سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں,so ab ke dono h chle badal ke dekhte hai
یہ کون ہے سر ساحل کہ ڈوبنے والے,ye kaun hai sareshil ki dbne vaale
سمندروں کی تہوں سے اچھل کے دیکھتے ہیں,samundaro k taho se uchhal ke dekhte hai
ابھی تلک تو نہ کندن ہوئے نہ راکھ ہوئے,abh talak to na kundan hue na raakh hue
ہم اپنی آگ میں ہر روز جل کے دیکھتے ہیں,ham apn aag me har roz jal ke dekhte hai
بہت دنوں سے نہیں ہے کچھ اس کی خیر خبر,bahut dino se nah hai kuchh us k hair habar
چلو فرازؔ کو اے یار چل کے دیکھتے ہیں,chalo farz ko ai yaar chal ke dekhte hai
اگرچہ زور ہواؤں نے ڈال رکھا ہے,agarche zor havo ne daal rakkh hai
مگر چراغ نے لو کو سنبھال رکھا ہے,magar charh ne lau ko sambhl rakkh hai
محبتوں میں تو ملنا ہے یا اجڑ جانا,mohabbato me to miln hai y uja jaan
مزاج عشق میں کب اعتدال رکھا ہے,mizjeishq me kab etidl rakkh hai
ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ,hav me nashsha h nashsha faz me rag h rag
یہ کس نے پیرہن اپنا اچھال رکھا ہے,ye kis ne pairahan apn uchhl rakkh hai
بھلے دنوں کا بھروسا ہی کیا رہیں نہ رہیں,bhale dino k bharos h ky rahe na rahe
سو میں نے رشتۂ غم کو بحال رکھا ہے,so mai ne rishtaeham ko bahl rakkh hai
ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا,ham aise sdadilo ko vo dost ho ki hud
سبھی نے وعدۂ فردا پہ ٹال رکھا ہے,sabh ne vdaefard pe taal rakkh hai
حساب لطف حریفاں کیا ہے جب تو کھلا,hisbelutfeharf kiy hai jab to khul
کہ دوستوں نے زیادہ خیال رکھا ہے,ki dosto ne ziyda hayl rakkh hai
بھری بہار میں اک شاخ پر کھلا ہے گلاب,bhar bahr me ik shh par khil hai gulb
کہ جیسے تو نے ہتھیلی پہ گال رکھا ہے,ki jaise t ne hathel pe gaal rakkh hai
فرازؔ عشق کی دنیا تو خوبصورت تھی,farz ishq k duniy to hbsrat th
یہ کس نے فتنۂ ہجر و وصال رکھا ہے,ye kis ne fitnaehijrovisl rakkh hai
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے,ais hai ki sab hvb musalsal nah hote
جو آج تو ہوتے ہیں مگر کل نہیں ہوتے,jo aaj to hote hai magar kal nah hote
اندر کی فضاؤں کے کرشمے بھی عجب ہیں,andar k fazo ke karishme bh ajab hai
مینہ ٹوٹ کے برسے بھی تو بادل نہیں ہوتے,meh tuut ke barse bh to bdal nah hote
کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں,kuchh mushkile ais hai ki s nah hot
کچھ ایسے معمے ہیں کبھی حل نہیں ہوتے,kuchh aise muamme hai kabh hal nah hote
شائستگیٔ غم کے سبب آنکھوں کے صحرا,shistageham ke sabab kho ke sahr
نمناک تو ہو جاتے ہیں جل تھل نہیں ہوتے,namnk to ho jaate hai jalthal nah hote
کیسے ہی تلاطم ہوں مگر قلزم جاں میں,kaise h taltum ho magar qulzumej me
کچھ یاد جزیرے ہیں کہ اوجھل نہیں ہوتے,kuchh ydjazre hai ki ojhal nah hote
عشاق کے مانند کئی اہل ہوس بھی,ushshq ke mnind ka ahlehavas bh
پاگل تو نظر آتے ہیں پاگل نہیں ہوتے,pgal to nazar aate hai pgal nah hote
سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے,sab hvhishe puur ho farz ais nah hai
جیسے کئی اشعار مکمل نہیں ہوتے,jaise ka ashr mukammal nah hote
ایسے چپ ہیں کہ یہ منزل بھی کڑی ہو جیسے,aise chup hai ki ye manzil bh ka ho jaise
تیرا ملنا بھی جدائی کی گھڑی ہو جیسے,ter miln bh jud k gha ho jaise
اپنے ہی سائے سے ہر گام لرز جاتا ہوں,apne h saae se har gaam laraz jaat huu
راستے میں کوئی دیوار کھڑی ہو جیسے,rste me ko dvr kha ho jaise
کتنے ناداں ہیں ترے بھولنے والے کہ تجھے,kitne nd hai tire bhlne vaale ki tujhe
یاد کرنے کے لیے عمر پڑی ہو جیسے,yaad karne ke liye umr pa ho jaise
تیرے ماتھے کی شکن پہلے بھی دیکھی تھی مگر,tere mthe k shikan pahle bh dekh th magar
یہ گرہ اب کے مرے دل میں پڑی ہو جیسے,ye girah ab ke mire dil me pa ho jaise
منزلیں دور بھی ہیں منزلیں نزدیک بھی ہیں,manzile duur bh hai manzile nazdk bh hai
اپنے ہی پاؤں میں زنجیر پڑی ہو جیسے,apne h paav me zanjr pa ho jaise
آج دل کھول کے روئے ہیں تو یوں خوش ہیں فرازؔ,aaj dil khol ke roe hai to yuu hush hai farz
چند لمحوں کی یہ راحت بھی بڑی ہو جیسے,chand lamho k ye rhat bh ba ho jaise
عجب جنون مسافت میں گھر سے نکلا تھا,ajab junnemasfat me ghar se nikl th
خبر نہیں ہے کہ سورج کدھر سے نکلا تھا,habar nah hai ki sraj kidhar se nikl th
یہ کون پھر سے انہیں راستوں میں چھوڑ گیا,ye kaun phir se unh rsto me chho gay
ابھی ابھی تو عذاب سفر سے نکلا تھا,abh abh to azbesafar se nikl th
یہ تیر دل میں مگر بے سبب نہیں اترا,ye tiir dil me magar besabab nah utr
کوئی تو حرف لب چارہ گر سے نکلا تھا,ko to harf labechragar se nikl th
یہ اب جو آگ بنا شہر شہر پھیلا ہے,ye ab jo aag ban shahr shahr phail hai
یہی دھواں مرے دیوار و در سے نکلا تھا,yah dhu mire dvrodar se nikl th
میں رات ٹوٹ کے رویا تو چین سے سویا,mai raat tuut ke roy to chain se soy
کہ دل کا زہر مری چشم تر سے نکلا تھا,ki dil k zahr mir chashmetar se nikl th
یہ اب جو سر ہیں خمیدہ کلاہ کی خاطر,ye ab jo sar hai hamda kulh k htir
یہ عیب بھی تو ہم اہل ہنر سے نکلا تھا,ye aib bh to ham ahlehunar se nikl th
وہ قیس اب جسے مجنوں پکارتے ہیں فرازؔ,vo qais ab jise majn pukrte hai farz
تری طرح کوئی دیوانہ گھر سے نکلا تھا,tir tarah ko dvna ghar se nikl th
اول اول کی دوستی ہے ابھی,avval avval k dost hai abh
اک غزل ہے کہ ہو رہی ہے ابھی,ik hazal hai ki ho rah hai abh
میں بھی شہر وفا میں نو وارد,mai bh shahrevaf me nauvrid
وہ بھی رک رک کے چل رہی ہے ابھی,vo bh ruk ruk ke chal rah hai abh
میں بھی ایسا کہاں کا زود شناس,mai bh ais kah k zdshans
وہ بھی لگتا ہے سوچتی ہے ابھی,vo bh lagt hai socht hai abh
دل کی وارفتگی ہے اپنی جگہ,dil k vraftag hai apn jagah
پھر بھی کچھ احتیاط سی ہے ابھی,phir bh kuchh ehtiyt s hai abh
گرچہ پہلا سا اجتناب نہیں,garche pahl s ijtinb nah
پھر بھی کم کم سپردگی ہے ابھی,phir bh kam kam supurdag hai abh
کیسا موسم ہے کچھ نہیں کھلتا,kais mausam hai kuchh nah khult
بوندا باندی بھی دھوپ بھی ہے ابھی,bdbnd bh dhuup bh hai abh
خود کلامی میں کب یہ نشہ تھا,hudkalm me kab ye nashsha th
جس طرح روبرو کوئی ہے ابھی,jis tarah rbar ko hai abh
قربتیں لاکھ خوبصورت ہوں,qurbate laakh hbsrat ho
دوریوں میں بھی دل کشی ہے ابھی,driyo me bh dilkash hai abh
فصل گل میں بہار پہلا گلاب,faslegul me bahr pahl gulb
کس کی زلفوں میں ٹانکتی ہے ابھی,kis k zulfo me tkt hai abh
مدتیں ہو گئیں فرازؔ مگر,muddate ho gaii farz magar
وہ جو دیوانگی کہ تھی ہے ابھی,vo jo dvng ki th hai abh
دوست بن کر بھی نہیں ساتھ نبھانے والا,dost ban kar bh nah saath nibhne vaal
وہی انداز ہے ظالم کا زمانے والا,vah andz hai zlim k zamne vaal
اب اسے لوگ سمجھتے ہیں گرفتار مرا,ab use log samajhte hai giraftr mir
سخت نادم ہے مجھے دام میں لانے والا,saht ndim hai mujhe daam me laane vaal
صبح دم چھوڑ گیا نکہت گل کی صورت,subhdam chho gay nikhategul k srat
رات کو غنچۂ دل میں سمٹ آنے والا,raat ko hunchaedil me simat aane vaal
کیا کہیں کتنے مراسم تھے ہمارے اس سے,ky kahe kitne marsim the hamre us se
وہ جو اک شخص ہے منہ پھیر کے جانے والا,vo jo ik shahs hai muh pher ke jaane vaal
تیرے ہوتے ہوئے آ جاتی تھی ساری دنیا,tere hote hue aa jaat th saar duniy
آج تنہا ہوں تو کوئی نہیں آنے والا,aaj tanh huu to ko nah aane vaal
منتظر کس کا ہوں ٹوٹی ہوئی دہلیز پہ میں,muntazir kis k huu tuut hu dahlz pe mai
کون آئے گا یہاں کون ہے آنے والا,kaun aaeg yah kaun hai aane vaal
کیا خبر تھی جو مری جاں میں گھلا ہے اتنا,ky habar th jo mir jaa me ghul hai itn
ہے وہی مجھ کو سر دار بھی لانے والا,hai vah mujh ko saredr bh laane vaal
میں نے دیکھا ہے بہاروں میں چمن کو جلتے,mai ne dekh hai bahro me chaman ko jalte
ہے کوئی خواب کی تعبیر بتانے والا,hai ko hvb k tbr batne vaal
تم تکلف کو بھی اخلاص سمجھتے ہو فرازؔ,tum takalluf ko bh ihls samajhte ho farz
دوست ہوتا نہیں ہر ہاتھ ملانے والا,dost hot nah har haath milne vaal
دکھ فسانہ نہیں کہ تجھ سے کہیں,dukh fasna nah ki tujh se kahe
دل بھی مانا نہیں کہ تجھ سے کہیں,dil bh maan nah ki tujh se kahe
آج تک اپنی بیکلی کا سبب,aaj tak apn bekal k sabab
خود بھی جانا نہیں کہ تجھ سے کہیں,hud bh jaan nah ki tujh se kahe
بے طرح حال دل ہے اور تجھ سے,betarah hledil hai aur tujh se
دوستانہ نہیں کہ تجھ سے کہیں,dostna nah ki tujh se kahe
ایک تو حرف آشنا تھا مگر,ek t harfeshn th magar
اب زمانہ نہیں کہ تجھ سے کہیں,ab zamna nah ki tujh se kahe
قاصدا ہم فقیر لوگوں کا,qsid ham faqr logo k
اک ٹھکانہ نہیں کہ تجھ سے کہیں,ik thikna nah ki tujh se kahe
اے خدا درد دل ہے بخشش دوست,ai hud dardedil hai bahshishedost
آب و دانہ نہیں کہ تجھ سے کہیں,bodna nah ki tujh se kahe
اب تو اپنا بھی اس گلی میں فرازؔ,ab to apn bh us gal me farz
آنا جانا نہیں کہ تجھ سے کہیں,aan jaan nah ki tujh se kahe
گفتگو اچھی لگی ذوق نظر اچھا لگا,guftug achchh lag zauqenazar achchh lag
مدتوں کے بعد کوئی ہم سفر اچھا لگا,muddato ke baad ko hamsafar achchh lag
دل کا دکھ جانا تو دل کا مسئلہ ہے پر ہمیں,dil k dukh jaan to dil k masala hai par hame
اس کا ہنس دینا ہمارے حال پر اچھا لگا,us k has den hamre haal par achchh lag
ہر طرح کی بے سر و سامانیوں کے باوجود,har tarah k besarosmniyo ke bvajd
آج وہ آیا تو مجھ کو اپنا گھر اچھا لگا,aaj vo aay to mujh ko apn ghar achchh lag
باغباں گلچیں کو چاہے جو کہے ہم کو تو پھول,bhb gulch ko chhe jo kahe ham ko to phuul
شاخ سے بڑھ کر کف دل دار پر اچھا لگا,shh se bah kar kafedildr par achchh lag
کوئی مقتل میں نہ پہنچا کون ظالم تھا جسے,ko maqtal me na pahuch kaun zlim th jise
تیغ قاتل سے زیادہ اپنا سر اچھا لگا,teheqtil se ziyda apn sar achchh lag
ہم بھی قائل ہیں وفا میں استواری کے مگر,ham bh qaael hai vaf me ustuvr ke magar
کوئی پوچھے کون کس کو عمر بھر اچھا لگا,ko pchhe kaun kis ko umr bhar achchh lag
اپنی اپنی چاہتیں ہیں لوگ اب جو بھی کہیں,apn apn chhate hai log ab jo bh kahe
اک پری پیکر کو اک آشفتہ سر اچھا لگا,ik parpaikar ko ik shuftasar achchh lag
میرؔ کے مانند اکثر زیست کرتا تھا فرازؔ,mr ke mnind aksar ziist kart th farz
تھا تو وہ دیوانہ سا شاعر مگر اچھا لگا,th to vo dvna s shir magar achchh lag
ہر کوئی دل کی ہتھیلی پہ ہے صحرا رکھے,har ko dil k hathel pe hai sahr rakkhe
کس کو سیراب کرے وہ کسے پیاسا رکھے,kis ko sairb kare vo kise pys rakkhe
عمر بھر کون نبھاتا ہے تعلق اتنا,umr bhar kaun nibht hai taalluq itn
اے مری جان کے دشمن تجھے اللہ رکھے,ai mir jaan ke dushman tujhe allh rakkhe
ہم کو اچھا نہیں لگتا کوئی ہم نام ترا,ham ko achchh nah lagt ko hamnm tir
کوئی تجھ سا ہو تو پھر نام بھی تجھ سا رکھے,ko tujh s ho to phir naam bh tujh s rakkhe
دل بھی پاگل ہے کہ اس شخص سے وابستہ ہے,dil bh pgal hai ki us shahs se vbasta hai
جو کسی اور کا ہونے دے نہ اپنا رکھے,jo kis aur k hone de na apn rakkhe
کم نہیں طمع عبادت بھی تو حرص زر سے,kam nah tamaeibdat bh to hirsezar se
فقر تو وہ ہے کہ جو دین نہ دنیا رکھے,faqr to vo hai ki jo diin na duniy rakkhe
ہنس نہ اتنا بھی فقیروں کے اکیلے پن پر,has na itn bh faqro ke akelepan par
جا خدا میری طرح تجھ کو بھی تنہا رکھے,j hud mer tarah tujh ko bh tanh rakkhe
یہ قناعت ہے اطاعت ہے کہ چاہت ہے فرازؔ,ye qanat hai itat hai ki chhat hai farz
ہم تو راضی ہیں وہ جس حال میں جیسا رکھے,ham to raaz hai vo jis haal me jais rakkhe
ہوا کے زور سے پندار بام و در بھی گیا,hav ke zor se pindrebmodar bh gay
چراغ کو جو بچاتے تھے ان کا گھر بھی گیا,charh ko jo bachte the un k ghar bh gay
پکارتے رہے محفوظ کشتیوں والے,pukrte rahe mahfz kashtiyo vaale
میں ڈوبتا ہوا دریا کے پار اتر بھی گیا,mai dbt hu dariy ke paar utar bh gay
اب احتیاط کی دیوار کیا اٹھاتے ہو,ab ehtiyt k dvr ky uthte ho
جو چور دل میں چھپا تھا وہ کام کر بھی گیا,jo chor dil me chhup th vo kaam kar bh gay
میں چپ رہا کہ اسی میں تھی عافیت جاں کی,mai chup rah ki is me th fiyat jaa k
کوئی تو میری طرح تھا جو دار پر بھی گیا,ko to mer tarah th jo daar par bh gay
سلگتے سوچتے ویران موسموں کی طرح,sulagte sochte vrn mausamo k tarah
کڑا تھا عہد جوانی مگر گزر بھی گیا,ka th ahdejavn magar guzar bh gay
جسے بھلا نہ سکا اس کو یاد کیا رکھتا,jise bhul na sak us ko yaad ky rakht
جو نام لب پہ رہا ذہن سے اتر بھی گیا,jo naam lab pe rah zehn se utar bh gay
پھٹی پھٹی ہوئی آنکھوں سے یوں نہ دیکھ مجھے,phat phat hu kho se yuu na dekh mujhe
تجھے تلاش ہے جس شخص کی وہ مر بھی گیا,tujhe talsh hai jis shahs k vo mar bh gay
مگر فلک کو عداوت اسی کے گھر سے تھی,magar falak ko advat us ke ghar se th
جہاں فرازؔ نہ تھا سیل غم ادھر بھی گیا,jah farz na th saileham udhar bh gay
ہوئی ہے شام تو آنکھوں میں بس گیا پھر تو,hu hai shaam to kho me bas gay phir t
کہاں گیا ہے مرے شہر کے مسافر تو,kah gay hai mire shahr ke musfir t
مری مثال کہ اک نخل خشک صحرا ہوں,mir misl ki ik nahlehushkesahr huu
ترا خیال کہ شاخ چمن کا طائر تو,tir hayl ki shhechaman k taair t
میں جانتا ہوں کہ دنیا تجھے بدل دے گی,mai jnt huu ki duniy tujhe badal deg
میں مانتا ہوں کہ ایسا نہیں بظاہر تو,mai mnt huu ki ais nah bazhir t
ہنسی خوشی سے بچھڑ جا اگر بچھڑنا ہے,hashush se bichha j agar bichhan hai
یہ ہر مقام پہ کیا سوچتا ہے آخر تو,ye har maqm pe ky socht hai hir t
فضا اداس ہے رت مضمحل ہے میں چپ ہوں,faz udaas hai rut muzmahil hai mai chup huu
جو ہو سکے تو چلا آ کسی کی خاطر تو,jo ho sake to chal aa kis k htir t
فرازؔ تو نے اسے مشکلوں میں ڈال دیا,farz t ne use mushkilo me daal diy
زمانہ صاحب زر اور صرف شاعر تو,zamna shabezar aur sirf sher t
اس قدر مسلسل تھیں شدتیں جدائی کی,is qadar musalsal thii shiddate jud k
آج پہلی بار اس سے میں نے بے وفائی کی,aaj pahl baar us se mai ne bevaf k
ورنہ اب تلک یوں تھا خواہشوں کی بارش میں,varna ab talak yuu th hvhisho k brish me
یا تو ٹوٹ کر رویا یا غزل سرائی کی,y to tuut kar roy y hazalsar k
تج دیا تھا کل جن کو ہم نے تیری چاہت میں,taj diy th kal jin ko ham ne ter chhat me
آج ان سے مجبورا تازہ آشنائی کی,aaj un se majbran taaza shn k
ہو چلا تھا جب مجھ کو اختلاف اپنے سے,ho chal th jab mujh ko ihtilf apne se
تو نے کس گھڑی ظالم میری ہم نوائی کی,t ne kis gha zlim mer hamnav k
