Urdu,Roman_Urdu
ہم تو راضی ہیں وہ جس حال میں جیسا رکھے,ham to raaz hai vo jis haal me jais rakkhe
جوش بہار کلفت نظارہ ہے اسدؔ,joshebahrekulfatenazzra hai asad
انہیں کے رونے میں آنسو نظر نہیں آتے,unh ke rone me aas nazar nah aate
میں بستر خیال پہ لیٹا ہوں اس کے پاس,mai bistarehayl pe let huu us ke paas
گرچہ ہے دل کشا بہت حسن فرنگ کی بہار,garche hai dilkush bahut husnefarag k bahr
داستان زندگی بھی کس قدر دلچسپ ہے,dstnezindag bh kis qadar dilchasp hai
اے دوست نہیں دور تری کم نگہی سے,ai dost nah duur tir kamnigah se
ایک پل دیکھ لوں تو اٹھتا ہوں,ek pal dekh luu to utht huu
اک دانش نورانی اک دانش برہانی,ik dnishenrn ik dnisheburhn
کون اس گھر کی دیکھ بھال کرے,kaun is ghar k dekhbhl kare
ہیں اس کی گفتگو کے انداز محرمانہ,hai is k guftug ke andz mahramna
کہتے ہیں جیتے ہیں امید پہ لوگ,kahte hai jiite hai ummed pe log
دست جنوں رہے نہ رہے آستیں رہے,dastejun rahe na rahe st rahe
یاد آ گیا مجھے تری دیوار دیکھ کر,yaad aa gay mujhe tir dvr dekh kar
میں دل کسی سے لگا لوں اگر اجازت ہو,mai dil kis se lag luu agar ijzat ho
سنبھال کر جسے رکھا ہے لا مکاں کے لیے,sambhl kar jise rakkh hai lmak ke liye
آج جس چہرہ سے تصویر اتروائی ہے,aaj jis chehra se tasvr utarv hai
تجھے حواس کی آوارگی کا علم کہاں,tujhe havs k vrg k ilm kah
دیر سے بو کباب کی سی ہے,der se b kabb k s hai
ملی ہے ایسی داد وفا کی کسے سڑک کے بیچ,mil hai ais daad vaf k kise saak ke biich
وحشتیں بڑھتی گئیں ہجر کے آزار کے ساتھ,vahshate baht gaii hijr ke zr ke saath
قفس سے آج صبا بے قرار گزری ہے,qafas se aaj sab beqarr guzr hai
اچھی بھلی تھی دنیا گزارے کے واسطے,achchh bhal th duniy guzre ke vste
رہائی کی کوئی صورت نہیں ہے,rih k ko srat nah hai
نہیں خبر انہیں مٹی میں اپنے ملنے کی,nah habar unhe mitt me apne milne k
ہر اک کشتی کا اپنا تجربہ ہوتا ہے دریا میں,har ik kasht k apn tajraba hot hai dariy me
لاکھوں لگاؤ ایک چرانا نگاہ کا,lkho lago ek churn nigh k
تنہا ہو تو گھبرایا سا لگتا ہے,tanh ho to ghabry s lagt hai
بات کچھ ہم سے بن نہ آئی آج,baat kuchh ham se ban na aa aaj
ایک رات آئی ایک رات گئی,ek raat aa ek raat ga
یا تھوڑی دور ساتھ چلو میں نشے میں ہوں,y tho duur saath chalo mai nashe me huu
جو امتحان طبع کرے اپنا اے ظفرؔ,jo imtihnetaba kare apn ai zafar
کیا ہی رضواں سے لڑائی ہوگی,ky h rizv se la hog
آئنہ دیکھ کر تسلی ہوئی,aaina dekh kar tasall hu
ستم ہو کہ ہو وعدۂ بے حجابی,sitam ho ki ho vadaebehijb
یہ خلش کہاں سے ہوتی جو جگر کے پار ہوتا,ye halish kah se hot jo jigar ke paar hot
تم کو مجھ سے پر التفات نہیں,tum ko mujh se par iltift nah
میں ہوں اور حیرت جاوید مگر ذوق خیال,mai huu aur hairatejved magar zauqehayl
اپنے مرض غم کا حکیم اور کوئی ہے,apne marazeham k hakm aur ko hai
اجالا سا ہے اس کے چاروں طرف,ujl s hai us ke chro taraf
درد دل کیا ہے کھلا آج ترے لڑنے پر,dard dil ky hai khul aaj tire lane par
بن بنا کر مکان سے نکلا,banban kar makn se nikl
آب حیواں پلا دیا تو نے,behaiv pil diy t ne
اہل نظر ہمیں کو معبود جانتے ہیں,ahlenazar ham ko maabd jnte hai
کیا کہوں تجھ سے کہ وہ طرز پرستش اور ہے,ky kah tujh se ki vo tarzeparastish aur hai
بس ہجوم ناامیدی خاک میں مل جائے گی,bas hujmenumd haak me mil jeg
رنگینی ایک اور خم و چم بہت ہے یاں,ragn ek aur hamocham bahut hai yaa
لگنے نہ دے بس ہو تو اس کے گوہر گوش کو بالے تک,lagne na de bas ho to us ke gauharegosh ko baale tak
پردۂ عرض وفا میں بھی رہا ہوں کرتا,pardaearzevaf me bh rah huu kart
اپنی محبوبہ میں اپنی ماں دیکھیں,apn mahbba me apn maa dekhe
حیرت متاع عالم نقصان و سود تھا,hairatmatelamenuqsnosd th
عشق کو عرض تمنا میں بھی لاکھوں پس و پیش,ishq ko arzetamann me bh lkho pasopesh
ہمارے شوق کی یہ انتہا تھی,hamre shauq k ye intih th
اب کیا ہے وہ عہد گیا وہ موسم وہ ہنگام گیا,ab ky hai vo ahd gay vo mausam vo hagm gay
خوں ہو کے جگر آنکھ سے ٹپکا نہیں اے مرگ,huu ho ke jigar aakh se tapk nah ai marg
زمانہ ہم سے بھلا دشمنی تو کیا رکھتا,zamna ham se bhal dushman to ky rakht
ہمیں یہ بات ویسے یاد تو اب کیا ہے لیکن ہاں اسے یکسر بھلانے میں ابھی کچھ دن لگیں گے,hame ye baat vaise yaad to ab ky hai lekin haa ise yaksar bhulne me abh kuchh din lagege
غم کدے میں دہر کے یوں تو اندھیرا تھا مگر,hamkade me dahr ke yuu to adher th magar
کیسا مجاز اور کیسی حقیقت,kais majz aur kais haqqat
بارش ہوئی تو پھولوں کے تن چاک ہو گئے,brish hu to phlo ke tan chaak ho gae
نگاہ ناز کو پھر کیوں نہ آشنا کہیے,nighenz ko phir kyuu na shn kahiye
عروج تیری خبر جب زوال لیتا ہے,uruuj ter habar jab zavl let hai
نفس موج محیط بے خودی ہے,nafas maujemuhtebehud hai
کیا خطا تجھ سے ہوئی اور وہ خفا کیونکر ہوا,ky hat tujh se hu aur vo haf kykar hu
نگاہ دوست کی مے خانگی کو کیا کیجے,nighedost k maihng ko ky kiije
اس کے کوچہ میں ہیں وہ بے پر و بال,us ke kche me hai vo bepar o baal
نہ فتوے کفر کے بدلے نہ عذر دار ہی بدلا,na fatve kufr ke badle na uzredr h badl
زندگی بے ترے جہنم ہے,zindag be tire jahannam hai
اور کچھ دن ابھی اوروں کو ستایا جائے,aur kuchh din abh auro ko saty jaae
دل مرا جس سے بہلتا کوئی ایسا نہ ملا,dil mir jis se bahalt ko ais na mil
رخصت کرو مجھے کوئی وعدہ کیے بغیر,ruhsat karo mujhe ko vaada kiye bahair
مگر یہ شرم جو چہرے پہ چھائی جاتی ہے,magar ye sharm jo chehre pe chh jaat hai
ہر اک قدم اجل تھا ہر اک گام زندگی,har ik qadam ajal th har ik gaam zindag
کیا شمع کیا پتنگ ہر اک بے حضور تھا,ky shama ky patag har ik behuzr th
خطرۂ بسیار دانی کی قسم,hatrebisyrdn k qasam
دل کے سب نقش تھے ہاتھوں کی لکیروں جیسے,dil ke sab naqsh the htho k lakro jaise
پر اے صیادوش دل کی گرفتاری سے ہاتھ آیا,par ai sayydvash dil k giraftr se haath aay
دل دیکھ رہے ہیں وہ جگر دیکھ رہے ہیں,dil dekh rahe hai vo jigar dekh rahe hai
ایک خوشبو کی طرح پھیلتے ہیں محفل میں,ek hushb k tarah phailte hai mahfil me
آمد فصل لالہ کاری ہے,madefaslellakr hai
سوچ سمجھ والوں کو تھوڑی نادانی دے مولا,soch samajh vlo ko tho ndn de maul
خبر نہیں انہیں کیا بندوبست پختہ کی,habar nah unhe ky badobastepuhta k
مت دشت محبت میں قدم رکھ کہ خضر کو,mat dashtemohabbat me qadam rakh ki hizar ko
اسے ڈراتے ہو موت سے کیا وہ زندگی ہی سے ڈر چکا ہے,use darte ho maut se ky vo zindag h se dar chuk hai
میں اور فقط اسی کی خواہش,mai aur faqat us k hvhish
سکوت شہر سخن میں وہ پھول سا لہجہ,sukteshahresuhan me vo phuul s lahja
صبح کو لائق ثنا مانا,subh ko leqesan maan
ہر برگ گل کے پردے میں دل بے قرار تھا,har bargegul ke parde me dil beqarr th
وہ میرے گھر نہیں آتا میں اس کے گھر نہیں جاتا,vo mere ghar nah aat mai us ke ghar nah jaat
کیا مری تقدیر میں منزل نہیں,ky mir taqdr me manzil nah
روح بن کر ذرے ذرے میں سما جاتا ہوں میں,ruuh ban kar zarre zarre me sam jaat huu mai
کوئی چہرہ نہیں جز زیر نقاب,ko chehra nah juz zerenaqb
دل لے کے کہتے ہیں تری خاطر سے لے لیا,dil le ke kahte hai tir htir se le liy
مگر یہ بتا طرز انکار کیا تھی,magar ye bat tarzeinkr ky th
آخر تو کیا ہے اے نہیں ہے,hir t ky hai ai nah hai
ایک سورج تھا کہ تاروں کے گھرانے سے اٹھا,ek sraj th ki tro ke gharne se uth
کچھ لوگوں کا سیدھا پن ہے کچھ اپنی عیاری ہے,kuchh logo k sdhpan hai kuchh apn ayyr hai
دہلی کے رہنے والو اسدؔ کو ستاؤ مت,dehl ke rahne vaalo asad ko sato mat
غم کا فسانہ سننے والو آخر شب آرام کرو,ham k fasna sune vaalo hireshab rm karo
آنکھیں ہیں کہ خالی نہیں رہتی ہیں لہو سے,khe hai ki hl nah raht hai lah se
وہ پوچھتے ہی رہے ہم سے بات بھی نہ ہوئی,vo pchhte h rahe ham se baat bh na hu
کہیں تو بہر خدا آج ذکر یار چلے,kah to bahrehud aaj zikreyr chale
چراغ راہ بجھا کیا کہ رہنما بھی گیا,charherh bujh ky ki rahnum bh gay
حور کی شکل ہو تم نور کے پتلے ہو تم,huur k shakl ho tum nuur ke putle ho tum
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں,abh kuchh aur karishme hazal ke dekhte hai
لے گیا دل کا جو آرام ہمارے یا رب,le gay dil k jo rm hamre y rab
تم جلتے ہو کیوں جیتا ہوں کیوں گاتا ہوں,tum jalte ho kyuu jiit huu kyuu gaat huu
ہزار فتنۂ بیدار خواب رنگیں میں,hazr fitnaebedr hvberag me
قرب و دیدار تو معلوم کسی کا پھر بھی,qurb o ddr to maalm kis k phir bh
اجل کا تقاضا ہوا چاہتا ہے,ajal k taqz hu chht hai
لطف ہے پھر جفا کرے کوئی,lutf hai phir jaf kare ko
وہ زندگی ہے جو کانٹوں کے درمیاں گزرے,vo zindag hai jo kto ke darmiy guzre
کھرا ہے جسے تم سمجھ رہے ہو وہ اب زر کم عیار ہوگا,khar hai jise tum samajh rahe ho vo ab zar kamayr hog
تو انجم چرخ ہشتم کے بہت سے ان سے کم نکلے,to anjum charhehashtum ke bahut se un se kam nikle
گر نہیں وصل تو حسرت ہی سہی,gar nah vasl to hasrat h sah
خواب صیاد سے پرواز گرانی مانگے,hvb sayyd se parvzegirn mge
میں وہ بشر کہ مجھ سے ہر آدمی کو نفرت,mai vo bashar ki mujh se har aadm ko nafrat
نکلے ہیں تو رستے میں کہیں شام بھی ہوگی,nikle hai to raste me kah shaam bh hog
ساقی سے جام بھر کے پلایا نہ جائے گا,saaq se jaam bhar ke pily na jeg
حضرت ناصح گر آویں دیدہ و دل فرش راہ,hazratenseh gar aave diida o dil farsherh
زور جنوں نہ کم ہو حداد کیا کرے گا,zorejun na kam ho haddd ky kareg
ہم بھی گئے واں اور تری تقدیر کو رو آئے,ham bh gae vaa aur tir taqdr ko ro aae
جو ذرہ جس جگہ ہے وہیں آفتاب ہے,jo zarra jis jagah hai vah ftb hai
پھر آنکھیں بھی تو دیں ہیں کہ رکھ دیکھ کر قدم,phir khe bh to dii hai ki rakh dekh kar qadam
امیروں کا یاں تک گزارا نہیں,amro k yaa tak guzr nah
جستجو کی پہ دل گم شدہ پایا نہ گیا,justuj k pe dilegumshuda paay na gay
ہمیں آپ سے بھی جدا کر چلے,hame aap se bh jud kar chale
کسی کے وعدۂ فردا کی گفتگو ہی سہی,kis ke vdaefard k guftug h sah
وہ کون تھا جو بول رہا تھا ستار میں,vo kaun th jo bol rah th sitr me
یا بندۂ خدا بن یا بندۂ زمانہ,y bandaehud ban y bandaezamna
کھینچ کر دیکھ مرے سینے سے تو تیر نہ توڑ,khch kar dekh mire siine se t tiir na to
اس کا احسان ہوا جاتا ہے,us k ehsn hu jaat hai
بنے گا مہر قیامت بھی ایک خال سیاہ,baneg mehreqaymat bh ek hlesiyh
جب بھی گئے عذاب در و بام تھا وہی,jab bh gae azbedarobm th vah
زخمی ہوا ہے پاشنہ پاۓ ثبات کا,zahm hu hai pshna pesabt k
بلکہ لینے لگے اب زلف و کمر دونوں ساتھ,balki lene lage ab zulf o kamar dono saath
چراغ ہم نے جلائے ہوا کے رستے میں,charh ham ne jale hav ke raste me
بہ چہرۂ متبسم بہ چشم تر آئی,bachehraemutabassim bachashmetar aa
لذت غم کے سوا تیری نگاہوں کے بغیر,lazzateham ke siv ter nigho ke bahair
مقصود دل ہے اس کا خیال اے ولیؔ مجھے,maqsdedil hai us k hayl ai val mujhe
دل کہاں کہ گم کیجے ہم نے مدعا پایا,dil kah ki gum kiije ham ne mudda paay
جانے ہے خدا اس کو میں تجھ کو خدا جانا,jaane hai hud us ko mai tujh ko hud jaan
کس کس سے اختلاط بڑھایا نہ جائے گا,kis kis se ihtilt bahy na jeg
میں نے ترے لحاظ میں تیرا کہا نہیں کیا,mai ne tire lihz me ter kah nah kiy
ڈر ہے نہ بھول جائے وہ سفاک روز حشر,dar hai na bhuul jaae vo saffk rozehashr
صحرا میں ہوں مگر مرا کاشانہ ساتھ ہے,sahr me huu magar mir kshna saath hai
ہاتھ ملنے نہ ہوں پیری میں اگر حسرت سے,haath malne na ho piir me agar hasrat se
جو کیا سب بجا کیا تو نے,jo kiy sab baj kiy t ne
اب بھٹکتا پھروں گا کہاں ایک میں,ab bhatakt phirug kah ek mai
ہر نظر کو تیری درد افزا سمجھ بیٹھے تھے ہم,har nazar ko ter dardafz samajh baithe the ham
پر دوست بھی اس دوست سے بہتر نہیں ملتا,par dost bh is dost se behtar nah milt
خوشی کی آنکھ میں آنسو کی بھی جگہ رکھنا,hush k aakh me aas k bh jagah rakhn
میرا سلام کہیو اگر نامہ بر ملے,mer salm kahiyo agar nmabar mile
کہا منہ پھیر کر اتنا کسی کو درد سر کیا ہو,kah muh pher kar itn kis ko dardesar ky ho
سلسلہ بے صبا رہا میرا,silsila besab rah mer
اہل صورت کو نہیں ہے اچھی سیرت سے غرض,ahlesrat ko nah hai achchh srat se haraz
کہیں نظر میں نہ آ جائے مارنے والا,kah nazar me na aa jaae mrne vaal
فیضؔ تکمیل غم بھی ہو نہ سکی,faiz takmleham bh ho na sak
کیا کوئی جسم جل رہا ہے کہیں,ky ko jism jal rah hai kah
آخری بار مل رہی ہو کیا,hir baar mil rah ho ky
مزا انگور کا مے خوار سے پوچھ,maz agr k maihvr se pchh
ہجر کے دشت میں کارواں ایک میں,hijr ke dasht me krv ek mai
کسی کے عشق نہاں میں یہ بد گمانی تھی,kis ke ishqenih me ye badgumn th
بے چشم دل نہ کر ہوس سیر لالہ زار,bechashmedil na kar havasesairellazr
خط کوں تیرے خط ریحاں بوجھ کر,hat kuu tere hatteraih buujh kar
رہبر ہو تو منزل کا پتہ کیوں نہیں دیتے,rahbar ho to manzil k pata kyuu nah dete
سایہ کی طرح ساتھ پھریں سرو و صنوبر,saae k tarah saath phire sarv o sanobar
جان پیاری بھی نہیں جان سے جاتے بھی نہیں,jaan pyr bh nah jaan se jaate bh nah
کہ اگر تنگ نہ ہوتا تو پریشاں ہوتا,ki agar tag na hot to paresh hot
خوشا کہ آج ہر اک مدعی کے لب پر ہے,hush ki aaj har ik mudda ke lab par hai
زمیں بدلی فلک بدلا مذاق زندگی بدلا,zam badl falak badl mazqezindag badl
مرد کا اعتبار کھوتی ہے,mard k etibr khot hai
اس تار سے وہ رشتہ عقیق یمنی ہے,is taar se vo rishta aqqeyaman hai
یہ کیا کہ سب سے بیاں دل کی حالتیں کرنی,ye ky ki sab se bay dil k hlate karn
دھوپ نکلے تو ترے سر کی ردا ہو جاؤں,dhuup nikle to tire sar k rid ho j
داد لینے کے لیے حسن خداداد آیا,daad lene ke liye husnehuddd aay
ٹوٹی پھوٹی زبان ہے پیارے,tuut pht zabn hai pyre
کہ اچانک سدھر گیا ہوں میں,ki achnak sudhar gay huu mai
یا خفا تھے یا ذرا سی بات پر,y haf the y zar s baat par
زندگی سے روٹھ جانا چاہیئے,zindag se ruuth jaan chhiye
سوئے قبلہ نگاہوں کے رخ نہ رہے اور در پہ نقش جبیں نہ رہے,seqibla nigho ke ruh na rahe aur dar pe naqshejab na rahe
یہ غزل اپنی مجھے جی سے پسند آتی ہے آپ,ye hazal apn mujhe j se pasand aat hai aap
یہ سچ ہے نازنیں ہو خوب صورت ہو مگر کیا ہو,ye sach hai nzn ho hbsrat ho magar ky ho
کچھ آنچ پا کے یہ چاندی پگھل تو سکتی ہے,kuchh aach p ke ye chd pighal to sakt hai
سر بہ سر آپ پر گیا ہوں میں,sarbasar aap par gay huu mai
آپ کی صورت تو دیکھا چاہیے,aap k srat to dekh chhiye
ابتدا کو جو انتہا جانے,ibtid ko jo intih jaane
ہر مذہب کا ایک ہی کہنا جیسا مالک رکھے رہنا,har mazhab k ek h kahn jais mlik rakkhe rahn
دیکھ دل کو مرے او کافر بے پیر نہ توڑ,dekh dil ko mire o kfirebepr na to
بنا دیا مری چاہت نے غیرت یوسف,ban diy mir chhat ne hairateysuf
بادہ نوشی ہے بادہ پیمائی,bdanosh hai bdapaim
آئیں گے تو مجھ پر کوئی احساں نہ کریں گے,ege to mujh par ko ehs na karege
موت کی راہ نہ دیکھوں کہ بن آئے نہ رہے,maut k raah na dekh ki bin aae na rahe
کہ جیسے دن کو مسافر سرا میں آ کے چلے,ki jaise din ko musfir sar me aa ke chale
گاہ گل گاہ رات رانی ہے,gaah gul gaah rtrn hai
اک گرد باد میں تو اوجھل ہوا نظر سے,ik gardbd me t ojhal hu nazar se
نہ وہ ہیں مشق ستم میں قاصر نہ خون دل کی یہاں کمی ہے,na vo hai mashqesitam me qsir na hnedil k yah kam hai
یہ بڑا عیب مجھ میں ہے اکبرؔ,ye ba aib mujh me hai akbar
شمع ساں جلتے ہیں اپنی گرم بازاری میں ہم,shama saa jalte hai apn garmbzr me ham
سایا ہے لیکن روشن روشن,saay hai lekin raushan raushan
زور نسبت مے سے رکھتا ہے اضارا کا نمک,zor nisbat mai se rakht hai azr k namak
معترض کیوں ہو اگر سمجھے تمہیں صیاد دل,motariz kyuu ho agar samjhe tumhe sayyd dil
کتنی رغبت تھی ترے نام سے پہلے پہلے,kitn rahbat th tire naam se pahle pahle
برگ گل ریزۂ مینا کی نشانی مانگے,bargegul rezaemn k nishn mge
تمہارے آئیو اے طرہ ہاۓ خم بہ خم آگے,tumhre aaiyo ai turrahhehambaham aage
یہ تم نے کیا کیا مری دنیا میں آ گئے,ye tum ne ky kiy mir duniy me aa gae
سائے کی طرح ہم پہ عجب وقت پڑا ہے,saae k tarah ham pe ajab vaqt pa hai
جا دکھا دنیا کو مجھ کو کیا دکھاتا ہے غرور,j dikh duniy ko mujh ko ky dikht hai hurr
کھیل قدرت کے تجھے دکھلائیں کیا,khel qudrat ke tujhe dikhle ky
مجنوں کو برا کہتی ہے لیلی مرے آگے,majn ko bur kaht hai lail mire aage
بھلا غموں سے کہاں ہار جانے والے تھے,bhal hamo se kah haar jaane vaale the
ہاں وہ نہیں خدا پرست جاؤ وہ بے وفا سہی,haa vo nah hudparast jaao vo bevaf sah
گرچہ منصب میں دو ہزاری ہے,garche mansab me dohazr hai
نہ بھولنا یہ ہے تاخیر حسن کی تاخیر,na bhln ye hai thr husn k thr
راہ دور عشق میں روتا ہے کیا,rhedreishq me rot hai ky
جہاں میں چاہیئے ایوان و قصر شاہوں کو,jah me chhiye aivn o qasr shho ko
آنگن میں پھیل جائے نہ بازار دیکھنا,gan me phail jaae na bzr dekhn
اے عشق تو کیا ظالم تیرا ہی زمانا ہے,ai ishq to ky zlim ter h zamn hai
ٹھیک ہے خود کو ہم بدلتے ہیں,thiik hai hud ko ham badalte hai
خود اپنے دل میں خراشیں اتارنا ہوں گی,hud apne dil me harshe utrn hog
کچھ ایسا عشق ترا خانماں خراب نہیں,kuchh ais ishq tir hnumharb nah
روندتے پھرتے ہیں وہ مجمع اغیار کے ساتھ,raudte phirte hai vo majmaeahyr ke saath
جینا مرا تو تجھ کو غنیمت ہے نا سمجھ,jiin mir to tujh ko hanmat hai nsamajh
دل ہر ذرہ میں غوغائے رستاخیز ہے ساقی,dileharzarra me hauherusthez hai saaq
مجھے خود سے بھی وحشت ہو رہی تھی,mujhe hud se bh vahshat ho rah th
ساقی نے کچھ ملا نہ دیا ہو شراب میں,saaq ne kuchh mil na diy ho sharb me
اے ہجوم ناامیدی شاد باش و زندہ باش,ai hujmenumd shdbshozindabsh
ہم کو تسلیم نکو نامی فرہاد نہیں,ham ko taslm nikonmiefarhd nah
جو بھی ہم سے ملنے آیا ملنے سے انکار کیا,jo bh ham se milne aay milne se inkr kiy
مدتوں رشک نے اغیار سے ملنے نہ دیا,muddato rashk ne ahyr se milne na diy
یاں رہ گئے ہیں ناخن تدبیر ٹوٹ کر,yaa rah gae hai nhunetadbr tuut kar
قضا سے شکوہ ہمیں کس قدر ہے کیا کہئے,qaz se shikva hame kis qadar hai ky kahiye
رہنماؤں میں بھی کچھ لوگوں کا یہ منشا تو ہے,rahnumo me bh kuchh logo k ye mansh to hai
تصور بہر تسکین تپیدن ہاۓ طفل دل,tasavvur bahretasknetapdanhetifledil
کسی نے مجھ سے بھی مجھ کو چھپا کے لوٹ لیا,kis ne mujh se bh mujh ko chhup ke luut liy
جذبات بھی ہندو ہوتے ہیں چاہت بھی مسلماں ہوتی ہے,jazbt bh hind hote hai chhat bh musalm hot hai
گھر سے چلا تو دل کے سوا پاس کچھ نہ تھا,ghar se chal to dil ke siv paas kuchh na th
سانس جو چل رہی ہے آری ہے,saas jo chal rah hai aar hai
مجھ سے گریز پا ہے تو ہر راستہ بدل,mujh se gurezp hai to har rsta badal
رنج کیا وصل عدو کا جو تعلق ہی نہیں,ranj ky vaslead k jo taalluq h nah
دیکھیے کب دن پھریں حمام کے,dekhiye kab din phire hammm ke
اشک افشانی بھی میری گوہر افشانی ہوئی,ashkafshn bh mer gauharafshn hu
مرنے والوں کو مرحبا کہئے,marne vlo ko marhab kahiye
تاریکی کے نام لکھوں تو قومیں فرقے ذات لکھوں,trk ke naam likh to qaume firqe zaat likh
اچھا سا کوئی موسم تنہا سا کوئی عالم,achchh s ko mausam tanh s ko aalam
ہنوز تیرے تصور میں ہے نشیب و فراز,hanz tere tasavvur me hai nashebofarz
نتیجہ نہ نکلا تھکے سب پیامی,natja na nikl thake sab paym
آنکھوں میں خیالات میں سانسوں میں بسا ہے,kho me haylt me sso me bas hai
گوہر کو عقد گردن خوباں میں دیکھنا,gauhar ko aqdegardanehb me dekhn
قدم قدم پہ جوانی ابل تو سکتی ہے,qadam qadam pe javn ubal to sakt hai
ہم نے ساری عمر ہی یارو دل کا کاروبار کیا,ham ne saar umr h yaaro dil k krobr kiy
اب نہ جائیں گے ادھر چاہے زمانہ جائے,ab na jege udhar chhe zamna jaae
انیسؔ یوں ہوا حال جوانی و پیری,ans yuu hu hlejavnopri
دل پہ بیٹھا کہاں سے تیر نگاہ,dil pe baith kah se trenigh
روز جیتا ہوا روز مرتا ہوا,roz jiit hu roz mart hu
اک سخن اور کہ پھر رنگ تکلم تیرا,ik suhan aur ki phir ragetakallum ter
کہاں مے خانہ کا دروازہ غالبؔ اور کہاں واعظ,kah maihne k darvza hlib aur kah vaaiz
پھر زبان بے ادب پر ذکر یار آ ہی گیا,phir zabnebeadab par zikr yaar aa h gay
ہوئی ہے عشق ہی سے حسن کی قدر,hu hai ishq h se husn k qadr
